keys,en,de
"Midnight Coach — chase and lasso doors 1-2-3!","Midnight Coach — chase and lasso doors 1-2-3!","Mitternachtskutsche — jage sie und fange die Türen 1-2-3!"
"Outlaw Kingpin — tie the guards, then lasso the boss once!","Outlaw Kingpin — tie the guards, then lasso the boss once!","Gesetzlosenboss — fessle die Wachen und fange dann einmal den Boss!"
"Cave Dragon — dodge flameballs, then lasso him three times!","Cave Dragon — dodge flameballs, then lasso him three times!","Höhledrache — weiche den Flammkugeln aus und fange ihn dreimal mit dem Lasso!"
Dodge the flameballs!,Dodge the flameballs!,Weiche den Flammkugeln aus!
Lasso the dragon! (%d / %d),Lasso the dragon! (%d / %d),Fange den Drachen mit dem Lasso! (%d / %d)
Nice lasso! (%d / %d) — here he comes again!,Nice lasso! (%d / %d) — here he comes again!,Schönes Lasso! (%d / %d) — er kommt wieder!
Dragon's mouth is tied — you win!,Dragon's mouth is tied — you win!,Das Maul des Drachen ist zugebunden — du gewinnst!
Keep up! Coach waits if you fall a screen behind.,Keep up! Coach waits if you fall a screen behind.,Bleib dran! Die Kutsche wartet wenn du einen Bildschirm zurückfällst.
They're rolling again!,They're rolling again!,Sie rollen wieder!
LOOK OUT!,LOOK OUT!,PASS AUF!
Dust surge!,Dust surge!,Staubwelle!
Lantern!,Lantern!,Laterne!
Catch up!,Catch up!,Hol auf!
Wrong door — start with door %d!,Wrong door — start with door %d!,Falsche Tür — beginne mit Tür %d!
Door %d open! (%d/3),Door %d open! (%d/3),Tür %d offen! (%d/3)
Driver gives up!,Driver gives up!,Der Kutscher gibt auf!
Now! Lasso the ring!,Now! Lasso the ring!,Jetzt! Fang den Ring mit dem Lasso!
Ring caught! %d / %d,Ring caught! %d / %d,Ring gefangen! %d / %d
Legs tied!,Legs tied!,Beine gefesselt!
Guard tied! %d left,Guard tied! %d left,Wache gefesselt! Noch %d
Now lasso the Kingpin!,Now lasso the Kingpin!,Fang jetzt den Boss mit dem Lasso!
Tie the bodyguards first!,Tie the bodyguards first!,Fessle zuerst die Leibwächter!
Kingpin captured!,Kingpin captured!,Boss gefangen!
Boss cleared!,Boss cleared!,Boss geschafft!
Out of hearts — restarting!,Out of hearts — restarting!,Keine Herzen mehr — Neustart!
Move: %s   Jump: %s   Lasso: %s   Pause: %s,Move: %s   Jump: %s   Lasso: %s   Pause: %s,Bewegen: %s   Springen: %s   Lasso: %s   Pause: %s
Translation Editor,Translation Editor,Übersetzungseditor
Element Names,Element Names,Elementnamen
Element name sheet,Element name sheet,Elementnamen-Übersicht
Zoom in,Zoom in,Vergrößern
Zoom out,Zoom out,Verkleinern
Mouse wheel zooms · drag to pan,Mouse wheel zooms · drag to pan,Mausrad zoomt · Ziehen zum Verschieben
Edit English and German. Parameter examples appear below matching entries.,Edit English and German. Parameter examples appear below matching entries.,Bearbeite Englisch und Deutsch. Parameterbeispiele stehen unter den passenden Einträgen.
Search keys or translations...,Search keys or translations...,Schlüssel oder Übersetzungen suchen...
Example,Example,Beispiel
Placeholder mismatch,Placeholder mismatch,Platzhalter stimmen nicht überein
Export location,Export location,Exportziel
Save / Export CSV,Save / Export CSV,CSV speichern / exportieren
Could not export translations,Could not export translations,Übersetzungen konnten nicht exportiert werden
Translations exported,Translations exported,Übersetzungen exportiert
Trail name,Trail name,Pfadname
Save Trail,Save Trail,Pfad speichern
Reset Changes,Reset Changes,Änderungen zurücksetzen
Play Test,Play Test,Test spielen
Back to Campaign Workshop,Back to Campaign Workshop,Zurück zur Kampagnen-Werkstatt
Reset trail?,Reset trail?,Pfad zurücksetzen?
Discard unsaved changes and return to the last saved trail?,Discard unsaved changes and return to the last saved trail?,Ungespeicherte Änderungen verwerfen und zum zuletzt gespeicherten Pfad zurückkehren?
Reset,Reset,Zurücksetzen
Keep editing,Keep editing,Weiter bearbeiten
Trail saved!,Trail saved!,Pfad gespeichert!
Could not save the trail.,Could not save the trail.,Der Pfad konnte nicht gespeichert werden.
No unsaved changes to reset.,No unsaved changes to reset.,Keine ungespeicherten Änderungen zum Zurücksetzen.
Trail reset to the last saved version.,Trail reset to the last saved version.,Pfad auf die zuletzt gespeicherte Version zurückgesetzt.
New trail reset to its starting layout.,New trail reset to its starting layout.,Neuer Pfad auf das Startlayout zurückgesetzt.
Edit Campaign Level,Edit Campaign Level,Kampagnen-Level bearbeiten
Add Campaign Level,Add Campaign Level,Kampagnen-Level hinzufügen
"1. Pick a stamp   2. Pick a square   3. Save or Play Test","1. Pick a stamp   2. Pick a square   3. Save or Play Test","1. Stempel wählen   2. Feld wählen   3. Speichern oder Test spielen"
Bottom row is dirt/canyon. Ground props stamp one row above dirt so they stand on the trail. Hover a stamp to see its border; right-click removes it. Canyon arrows grow or shrink a gap.,Bottom row is dirt/canyon. Ground props stamp one row above dirt so they stand on the trail. Hover a stamp to see its border; right-click removes it. Canyon arrows grow or shrink a gap.,Die unterste Zeile ist Erde/Canyon. Boden-Stempel kommen eine Zeile über die Erde damit sie auf dem Pfad stehen. Zeige mit der Maus auf einen Stempel um seinen Rahmen zu sehen; Rechtsklick entfernt ihn. Canyon-Pfeile verbreitern oder verengen eine Lücke.
Stamp,Stamp,Stempel
Stamp category,Stamp category,Stempel-Kategorie
Stamp tool,Stamp tool,Stempel-Werkzeug
Path stamp,Path stamp,Pfad-Stempel
Trail,Trail,Pfad
Pickups,Pickups,Sammelobjekte
Hazards,Hazards,Gefahren
Enemies,Enemies,Gegner
Power-ups,Power-ups,Power-ups
Goal,Goal,Ziel
Tools,Tools,Werkzeug
Dirt,Dirt,Erde
Plank,Plank,Brett
Badge,Badge,Stern
Treasure Chest,Treasure Chest,Schatztruhe
Cactus,Cactus,Kaktus
Canyon,Canyon,Canyon
Camp,Camp,Lager
Spring,Spring,Feder
Bandit,Bandit,Bandit
Bounty Bandit,Bounty Bandit,Gesuchter Bandit
Rattlesnake,Rattlesnake,Klapperschlange
Carrion Bird,Carrion Bird,Aasgeier
Saloon,Saloon,Saloon
Erase,Erase,Radierer
Fence,Fence,Zaun
Moving Plank,Moving Plank,Fahrendes Brett
Moving Cloud,Moving Cloud,Fahrende Wolke
Blink Cloud,Blink Cloud,Blink-Wolke
Wind,Wind,Wind
Motion,Motion,Bewegung
Desert,Desert,Wüste
Cave,Cave,Höhle
Horse,Horse,Pferd
Level style,Level style,Level-Stil
Cave Floor,Cave Floor,Höhlenboden
Cave Gap,Cave Gap,Höhlenspalte
Crystal Ledge,Crystal Ledge,Kristallbrett
Poison Fungus,Poison Fungus,Giftpilz
Floor Hole,Floor Hole,Bodenloch
Bow Skeleton,Bow Skeleton,Bogenschützen-Skelett
Crystal Skeleton,Crystal Skeleton,Kristall-Skelett
Cave Lizard,Cave Lizard,Höhlen-Eidechse
Scorpion,Scorpion,Skorpion
Lantern Camp,Lantern Camp,Laternen-Lager
Crystal Gate,Crystal Gate,Kristalltor
Pink Drop,Pink Drop,Rosa Tropfen
Stalactite,Stalactite,Stalaktit
Cave Bat,Cave Bat,Höhlen-Fledermaus
Bull,Bull,Bulle
Ninja,Ninja,Ninja
Pit,Pit,Grube
Ladder,Ladder,Leiter
"Live preview (3/4 size) — full height, follows stamp cursor","Live preview (3/4 size) — full height, follows stamp cursor",Live-Vorschau (3/4 Größe) — volle Höhe folgt dem Stempel-Cursor
"Live preview — full height, edge scroll to pan","Live preview — full height, edge scroll to pan","Live-Vorschau — volle Höhe, Rand scrollt zum Schwenken"
Stamp grid,Stamp grid,Stempelraster
Hide stamp grid,Hide stamp grid,Stempelraster ausblenden
Show stamp grid,Show stamp grid,Stempelraster einblenden
Stamp: Dirt — keep a dirt path under the cowboy and saloon.,Stamp: Dirt — keep a dirt path under the cowboy and saloon.,Stempel: Erde — halte einen Erdpfad unter Cowboy und Saloon.
"Add Dirt and a Saloon before play-testing.","Add Dirt and a Saloon before play-testing.","Füge Erde und einen Saloon hinzu, bevor du testest."
"Edit a copy of any campaign level, or insert a new trail before any level.","Edit a copy of any campaign level, or insert a new trail before any level.","Bearbeite eine Kopie eines Kampagnen-Levels oder füge einen neuen Pfad vor einem Level ein."
Export Trails,Export Trails,Pfade exportieren
Import Trails,Import Trails,Pfade importieren
Export Trail,Export Trail,Pfad exportieren
Import Trail,Import Trail,Pfad importieren
No custom trails to export.,No custom trails to export.,Keine eigenen Pfade zum Exportieren.
Could not write trail pack.,Could not write trail pack.,Pfad-Paket konnte nicht geschrieben werden.
Exported %d trail(s).,Exported %d trail(s).,%d Pfad(e) exportiert.
Could not import trail pack.,Could not import trail pack.,Pfad-Paket konnte nicht importiert werden.
Trail exported.,Trail exported.,Pfad exportiert.
Trail imported.,Trail imported.,Pfad importiert.
Imported first of %d trails.,Imported first of %d trails.,Ersten von %d Pfaden importiert.
Edit level,Edit level,Level bearbeiten
Add before,Add before,Davor einfügen
Restore original,Restore original,Original wiederherstellen
Extra before position %d: %s,Extra before position %d: %s,Extra vor Position %d: %s
Extra Trail,Extra Trail,Extra-Pfad
Edit,Edit,Bearbeiten
Remove,Remove,Entfernen
+ Add a new level after Level 10,+ Add a new level after Level 10,+ Neues Level nach Level 10 hinzufügen
+ Add a new trail at the end,+ Add a new trail at the end,+ Neuen Pfad am Ende hinzufügen
self-made,★ Homemade,★ Eigenbau
changed,Changed,Geändert
Self-made trails sit in campaign order. Changed campaign trails are marked. Add a trail before any row.,Self-made trails sit in campaign order. Changed campaign trails are marked. Add a trail before any row.,Eigenbau-Pfade stehen an der richtigen Kampagnen-Stelle (grüner ★-Badge). Geänderte Kampagnen-Pfade sind orange markiert. Vor jeder Zeile kannst du einen Pfad einfügen.
Back to Cowboy Trail,Back to Cowboy Trail,Zurück zum Cowboy-Pfad
+ Length,+ Length,+ Länge
− Length,− Length,− Länge
Trail length: %d columns,Trail length: %d columns,Pfadlänge: %d Spalten
Classic,Classic,Klassisch
Advanced Mode,Advanced Mode,Fortgeschrittenen-Modus
Advanced ★%d,Advanced ★%d,Fortgeschritten ★%d
Character,Character,Figur
Cowboy,Cowboy,Cowboy
Cowgirl,Cowgirl,Cowgirl
Pick Cowboy or Cowgirl,Pick Cowboy or Cowgirl,Wähle Cowboy oder Cowgirl
Playing as %s,Playing as %s,Du spielst als %s
Trail mode,Trail mode,Spielmodus
Lives: %s,Lives: %s,Leben: %s
Lives: 0,Lives: 0,Leben: 0
GAME OVER,GAME OVER,SPIEL VORBEI
The trail got the better of you...,The trail got the better of you...,Der Pfad war stärker als du...
Extra life! +1 life,Extra life! +1 life,Extra-Leben! +1 Leben
Out of lives!,Out of lives!,Keine Leben mehr!
%d lives left!,%d lives left!,%d Leben übrig!
Widen canyon left,Widen canyon left,Canyon nach links verbreitern
Narrow canyon from the left,Narrow canyon from the left,Canyon von links verengen
Widen canyon right,Widen canyon right,Canyon nach rechts verbreitern
Narrow canyon from the right,Narrow canyon from the right,Canyon von rechts verengen
This canyon is too wide to jump,This canyon is too wide to jump,Dieser Canyon ist zu breit zum Springen
Right-click to remove,Right-click to remove,Rechtsklick zum Entfernen
